,function,board_size,start_position,start,end,time,calculations,moves
0,backtrack_knight,5,"(0, 0)",2022-04-22 20:40:55.130604,2022-04-22 20:40:55.181603,0 days 00:00:00.050999,39993,39993
1,backtrack_knight,5,"(0, 1)",2022-04-22 20:40:55.391602,2022-04-22 20:41:06.608196,0 days 00:00:11.216594,14635368,14635369
2,backtrack_knight,5,"(0, 2)",2022-04-22 20:41:06.613195,2022-04-22 20:41:07.827005,0 days 00:00:01.213810,1683055,1683055
3,backtrack_knight,5,"(0, 3)",2022-04-22 20:41:07.830944,2022-04-22 20:41:18.877749,0 days 00:00:11.046805,14635368,14635369
4,backtrack_knight,5,"(0, 4)",2022-04-22 20:41:18.882687,2022-04-22 20:41:18.886684,0 days 00:00:00.003997,5796,5796
5,backtrack_knight,5,"(1, 0)",2022-04-22 20:41:18.890746,2022-04-22 20:41:29.738714,0 days 00:00:10.847968,14635368,14635369
6,backtrack_knight,5,"(1, 1)",2022-04-22 20:41:29.744717,2022-04-22 20:41:30.274710,0 days 00:00:00.529993,572046,572046
7,backtrack_knight,5,"(1, 2)",2022-04-22 20:41:30.279710,2022-04-22 20:41:36.401731,0 days 00:00:06.122021,8231144,8231145
8,backtrack_knight,5,"(1, 3)",2022-04-22 20:41:36.405674,2022-04-22 20:41:36.624731,0 days 00:00:00.219057,312169,312169
9,backtrack_knight,5,"(1, 4)",2022-04-22 20:41:36.629715,2022-04-22 20:41:47.634647,0 days 00:00:11.004932,14635368,14635369
10,backtrack_knight,5,"(2, 0)",2022-04-22 20:41:47.638645,2022-04-22 20:41:47.934687,0 days 00:00:00.296042,405102,405102
11,backtrack_knight,5,"(2, 1)",2022-04-22 20:41:47.938700,2022-04-22 20:41:54.109938,0 days 00:00:06.171238,8231144,8231145
12,backtrack_knight,5,"(2, 2)",2022-04-22 20:41:54.117881,2022-04-22 20:41:54.356876,0 days 00:00:00.238995,282891,282891
13,backtrack_knight,5,"(2, 3)",2022-04-22 20:41:54.360935,2022-04-22 20:42:00.750427,0 days 00:00:06.389492,8231144,8231145
14,backtrack_knight,5,"(2, 4)",2022-04-22 20:42:00.755370,2022-04-22 20:42:04.148347,0 days 00:00:03.392977,4787778,4787778
15,backtrack_knight,5,"(3, 0)",2022-04-22 20:42:04.154356,2022-04-22 20:42:15.207769,0 days 00:00:11.053413,14635368,14635369
16,backtrack_knight,5,"(3, 1)",2022-04-22 20:42:15.213769,2022-04-22 20:42:16.416761,0 days 00:00:01.202992,1743525,1743525
17,backtrack_knight,5,"(3, 2)",2022-04-22 20:42:16.421763,2022-04-22 20:42:22.773897,0 days 00:00:06.352134,8231144,8231145
18,backtrack_knight,5,"(3, 3)",2022-04-22 20:42:22.778897,2022-04-22 20:42:24.586945,0 days 00:00:01.808048,2527554,2527554
19,backtrack_knight,5,"(3, 4)",2022-04-22 20:42:24.591323,2022-04-22 20:42:35.774969,0 days 00:00:11.183646,14635368,14635369
20,backtrack_knight,5,"(4, 0)",2022-04-22 20:42:35.779909,2022-04-22 20:42:35.785906,0 days 00:00:00.005997,7531,7531
21,backtrack_knight,5,"(4, 1)",2022-04-22 20:42:35.789909,2022-04-22 20:42:48.076457,0 days 00:00:12.286548,14635368,14635369
22,backtrack_knight,5,"(4, 2)",2022-04-22 20:42:48.081450,2022-04-22 20:42:48.986233,0 days 00:00:00.904783,923357,923357
23,backtrack_knight,5,"(4, 3)",2022-04-22 20:42:48.992271,2022-04-22 20:43:02.181731,0 days 00:00:13.189460,14635368,14635369
24,backtrack_knight,5,"(4, 4)",2022-04-22 20:43:02.185731,2022-04-22 20:43:02.452726,0 days 00:00:00.266995,381509,381509
0,backtrack_knight,4,"(0, 0)",2022-04-22 20:46:29.448790,2022-04-22 20:46:29.461785,0 days 00:00:00.012995,17784,17785
1,backtrack_knight,4,"(0, 1)",2022-04-22 20:46:29.653824,2022-04-22 20:46:29.663838,0 days 00:00:00.010014,15080,15081
2,backtrack_knight,4,"(0, 2)",2022-04-22 20:46:29.668840,2022-04-22 20:46:29.679838,0 days 00:00:00.010998,15080,15081
3,backtrack_knight,4,"(0, 3)",2022-04-22 20:46:29.685781,2022-04-22 20:46:29.697776,0 days 00:00:00.011995,17784,17785
4,backtrack_knight,4,"(1, 0)",2022-04-22 20:46:29.702823,2022-04-22 20:46:29.713775,0 days 00:00:00.010952,15080,15081
